date	Portfolio	ccy-1	ccy-2
19/04/2019	FXTEST	1.156122826	0.883431247
18/04/2019	FXTEST	1.156925355	0.887232721
17/04/2019	FXTEST	1.154521105	0.890868597
16/04/2019	FXTEST	1.155214639	0.890789239
15/04/2019	FXTEST	1.159729551	0.894054537
12/04/2019	FXTEST	1.158158065	0.891583452
11/04/2019	FXTEST	1.160739159	0.885778821
10/04/2019	FXTEST	1.163277651	0.883314195
09/04/2019	FXTEST	1.157420803	0.878040214
08/04/2019	FXTEST	1.158721698	0.878425861
05/04/2019	FXTEST	1.159218687	0.879043601
04/04/2019	FXTEST	1.166412	0.879584836
03/04/2019	FXTEST	1.171687347	0.878889084
02/04/2019	FXTEST	1.164225674	0.883041194
01/04/2019	FXTEST	1.170686022	0.885269122
29/03/2019	FXTEST	1.168346532	0.885367665
28/03/2019	FXTEST	1.164646006	0.886367665
27/03/2019	FXTEST	1.172374175	0.891106755
26/03/2019	FXTEST	1.171440286	0.891543708
25/03/2019	FXTEST	1.165555504	0.892379083
22/03/2019	FXTEST	1.171550078	0.888888889
21/03/2019	FXTEST	1.150483203	0.888730892
20/03/2019	FXTEST	1.161737029	0.888691402
19/03/2019	FXTEST	1.169057389	0.887862914
18/03/2019	FXTEST	1.165949608	0.891106755
15/03/2019	FXTEST	1.17249789	0.890828916
14/03/2019	FXTEST	1.174853437	0.891662951
13/03/2019	FXTEST	1.169590643	0.891106755
12/03/2019	FXTEST	1.161642563	0.891027355
11/03/2019	FXTEST	1.166520852	0.896860987
08/03/2019	FXTEST	1.158506916	0.897424392
07/03/2019	FXTEST	1.16780138	0.896097495
06/03/2019	FXTEST	1.162007019	0.898795614
05/03/2019	FXTEST	1.159810255	0.898311175
04/03/2019	FXTEST	1.163372384	0.897786955
01/03/2019	FXTEST	1.16295297	0.90244334
28/02/2019	FXTEST	1.16512094	0.90440445
27/02/2019	FXTEST	1.171508903	0.900738606
26/02/2019	FXTEST	1.165311022	0.894054537
25/02/2019	FXTEST	1.151768541	0.893974611
22/02/2019	FXTEST	1.151330939	0.891662951
21/02/2019	FXTEST	1.151410478	0.89273758
20/02/2019	FXTEST	1.151012891	0.892777431
19/02/2019	FXTEST	1.149729239	0.89146423
